,0
0,AATSC5s
1,Sse_ratio_nFRing
2,JGI10_multiply_SdO
3,GGI8
4,ATSC8p
5,ATSC7dv_ratio_nG12FRing
6,Xch-5dv
7,RPCG
8,MATS8Z_diff_piPC10
9,TopoPSA(NO)_ratio_GATS7d
10,TpiPC10_sum_AATSC5s
11,ATSC6d
12,ATSC7c_ratio_nG12FARing
13,ATSC5s
14,TpiPC10
15,ATSC8d
16,SdO_multiply_ATSC1d
17,MATS2c
18,MATS4m
19,ATS4m
20,piPC10_sum_GATS8i
21,AATS2i
22,Xc-5dv
23,GGI6
24,LogEE_Dzi
25,ATSC6c_diff_piPC9
26,MATS1d
27,GGI9
28,MATS7m
29,AATSC1m
30,ATS7Z
31,TSRW10
32,ATSC1d
33,EState_VSA10_multiply_SpMAD_Dzm
34,MIC4
35,AATS1p
36,ATSC0s
37,MATS2dv
38,ETA_eta_F
39,ATSC7dv
40,AXp-1dv
41,piPC10_ratio_AATS1are
42,AATSC6se
43,GGI7
44,ATSC2s
45,MATS3se
46,MATS5dv
47,ATSC7are
48,MIC2
49,MIC3
50,ATS7i
51,AATS3i
52,JGI8
53,MATS1dv
54,ETA_epsilon_2
55,SLogP
56,AATS7are
57,ATS0s
58,AATSC8m
59,AATSC7i
60,EState_VSA2
61,EState_VSA10_sum_NssNH
62,AATSC3dv
63,ATS7m
64,GATS6pe
65,nG12FARing_ratio_VSA_EState5
66,ATSC7Z
67,GATS1pe
68,GATS1c
69,GATS7are
70,piPC9_sum_MATS5pe
71,SssCH2
72,AATS6i
73,AATS0v
74,BCUTv-1h
75,AATS3d
76,GATS1se
77,ATSC7pe
78,EState_VSA10_ratio_GATS5v
79,GATS4dv
80,GATS2p
81,GATS5s
82,GATS7m
83,ATSC8m
84,MATS7d
85,ATSC7v
86,RPCG_diff_EState_VSA10
87,ETA_shape_p
88,piPC9_multiply_AXp-0d
89,GATS6se
90,Xch-6d
91,ATSC6m
92,ATS8Z
93,AATSC0p
94,CIC0
95,EState_VSA5
96,AATSC2Z
97,AATS8i
98,GATS3pe
99,MATS5i
100,AATSC3p
101,SpMAD_A
102,nG12FARing_ratio_ETA_eta_R
103,GATS6p
104,ATS0s_diff_ATSC2d
105,GATS8dv
106,SM1_Dzv
107,JGI2
108,ETA_eta_B
109,CIC1
110,GATS8Z
111,AETA_eta_BR
112,GATS4are
113,BIC0
114,MATS3s
115,AATS1are_ratio_piPC10
116,MATS6are
117,AATSC5i_diff_piPC9
118,AATSC6m
119,GATS5dv
120,ATS0m
121,BCUTi-1h
122,AXp-5dv
123,ATSC4d
124,AXp-3dv
125,ATS2pe
126,AATSC8s
127,ATS3dv
128,BCUTc-1h
129,SpAbs_A
130,AATS0m
131,StsC
132,SpMax_Dzpe
133,AETA_eta
134,nHBDon
135,AETA_eta_F
136,VR2_Dzse
137,SpDiam_DzZ
138,GATS7v
139,MATS2d
140,MATS7pe
141,SM1_Dzm
142,MATS3i
143,NaaO
144,VE3_Dzm
145,SdssC
146,ATSC0v
147,TopoPSA_multiply_ATSC0dv
148,SaaaC
149,n6HRing
150,C4SP3
151,JGI3
152,CIC2
153,GATS3p
154,nFARing
155,Diameter
156,GATS8c
157,MWC08
158,ATS2s
159,Xpc-6dv
160,BIC5
161,GATS6i
162,ATS4i
163,ETA_beta
164,GATS4se
165,VR1_Dzm
166,nARing
167,TIC2
168,SpAD_DzZ
169,TopoPSA_multiply_nG12FARing
170,MATS8v
171,AATSC0se
172,NsssN
173,AATS0dv
174,ATS0i
175,MATS4are
176,VE3_Dzse
177,SpDiam_Dzare
178,SMR_VSA4
179,nBondsA
180,ATS8s
181,AATS8dv
182,Xpc-4dv
183,SssNH
184,TpiPC10_sum_GATS7d
185,SM1_Dzpe_ratio_nG12FRing
186,AXp-2dv
187,AATS1v
188,ABC
189,n4Ring
190,JGI10
191,ATS4are
192,GGI3
193,ATS8m
194,AATS5m
195,SpMax_Dzv
196,SdsN
197,HybRatio
198,GATS5se
199,AETA_beta
200,AATSC6c
201,nBondsT
202,MATS5c
203,AATS2Z
204,nG12FRing
205,ETA_eta_FL
206,Sare
207,ATS2i
208,nH
209,AATS4Z
210,AATS2dv
211,Xc-4d
212,SIC2
213,AATSC8i
214,Xch-7dv
215,ATSC0are_ratio_nG12FARing
216,VE2_Dzpe
217,MATS4dv
218,ZMIC0
219,mZagreb1
220,AATSC7dv
221,MATS5se
222,MATS1Z
223,ATSC2are
224,ETA_dPsi_A
225,LogEE_Dzpe
226,ATS2Z
227,MATS6d
228,SpDiam_Dzpe
229,ATSC3m
230,Xp-4d
231,ATS4dv
232,SpAbs_Dzm
233,SM1_Dzpe
234,bpol
235,n6Ring
236,MATS4i
237,SMR_VSA2_diff_EState_VSA10
238,SpAD_Dzse
239,AATSC0i
240,AATS5dv
241,SMR_VSA7
242,AATSC3c
243,TopoShapeIndex
244,Vabc
245,GATS4c
246,VR1_Dzi
247,C2SP1
248,MWC09
249,ECIndex
250,n12FHRing
251,AATSC2m
252,NsBr
253,SpDiam_Dzm
254,MATS4pe
255,ATS3v
256,ETA_shape_y
257,BCUTp-1l
258,NdO
259,ATSC8se
260,GATS4p
261,AATS4s
262,ATSC6dv
263,Lipinski
264,AATSC3v
265,SpAD_Dzpe
266,AETA_eta_RL
267,MATS7c
268,NsNH2
269,AATS5i
270,EState_VSA10_sum_ETA_epsilon_1
271,ATS2are
272,NtN
273,ATS5Z
274,NsOH
275,SIC4
276,BCUTp-1h
277,ATSC1are_diff_piPC3
278,EState_VSA10_sum_SpMAD_Dzv
279,GGI7_ratio_nG12FARing
280,LogEE_Dzp
281,ATS3d
282,SpMAD_DzZ
283,ATSC3v
284,ATSC7m
285,NaaaC
286,SlogP_VSA5
287,ATS6i
288,VR2_Dzm
289,ATSC5m
290,SlogP_VSA8
291,AATS7p
292,piPC7_sum_GATS7d
293,AMW
294,ETA_epsilon_4
295,AATSC8p
296,AETA_dBeta
297,AATSC5m
298,AXp-6d
299,ATSC2pe
300,MDEC-22
301,n9FHRing
302,AATSC0m
303,AATSC2p
304,AATS7d
305,AATS1m
306,MID_h
307,LogEE_Dzse
308,VR2_Dzi
309,ATSC5c
310,n6aHRing
311,NtsC
312,WPath
313,PEOE_VSA1
314,AATSC5dv
315,MWC06
316,nBondsS
317,GATS4pe
318,ETA_epsilon_3
319,SddssS
320,AATSC6dv
321,ATSC4v
322,MATS3v
323,AATSC8dv
324,MATS4d
325,ATS2p
326,ATSC0se
327,AATS4d
328,SpAbs_Dzp
329,AATS5d
330,MATS7are
331,StCH
332,ATS6pe
333,MATS4Z
334,SpMax_Dzare
335,Xp-5dv
336,AATSC4s
337,GATS4m
338,Xp-1d
339,MATS4v
340,AATSC6s
341,AATSC5v
342,GATS7p
343,AATSC4m
344,MATS2are
345,AATS7m
346,JGI4
347,MATS7Z
348,SIC5
349,VE2_DzZ
350,EState_VSA7
351,AETA_beta_ns_d
352,Mse
353,AATS7i
354,VSA_EState2
355,ATS1d
356,SaaN
357,MATS8se
358,ATS4d
359,piPC8
360,ATS5d
361,JGI1
362,nRing
363,ATS3s
364,BIC3
365,MPC6
366,VE1_Dzm
367,SpAD_Dzi
368,SpMAD_Dzm
369,naHRing
370,n7ARing
371,n4ARing
372,ATSC1s
373,MATS3d
374,VR1_Dzse
375,ATS1m
376,AATS1are_diff_piPC10
377,GATS8v
378,AATS5Z
379,AATSC6d
380,MW
381,ATS0dv
382,VE3_Dzpe
383,NsCH3
384,EState_VSA9
385,GATS6are
386,ETA_shape_y_ratio_GATS4Z
387,AATSC5Z
388,n10FaRing
389,MPC9
390,AATSC1are
391,EState_VSA10_diff_n5ARing
392,AATSC7are
393,ATSC4s
394,VSA_EState8
395,nAromAtom
396,ATSC3s
397,VE3_DzZ
398,piPC8_multiply_EState_VSA2
399,ATSC5are
400,AATSC8are
401,VR1_A
402,EState_VSA1
403,MATS8m_diff_piPC10
404,ATSC3are
405,ETA_epsilon_5
406,ATS5m
407,GGI2
408,ATS6v
409,AATS8m
410,n9FaHRing
411,n10FaHRing
412,ATSC8are
413,n12FARing
414,AATS2m
415,SpAD_Dzm
416,AATS4m
417,ATSC5d
418,GATS7dv
419,AATSC7pe
420,ATS1v
421,ATS4se
