,0
0,ETA_eta_B_multiply_ATS4m
1,AXp-3dv_sum_MATS4s
2,GATS1m
3,AATS8m_ratio_Lipinski
4,ATSC7Z
5,AATS7se
6,SIC3_ratio_ATSC4p
7,SpDiam_Dzare
8,random_feature
9,GATS6se
10,VE2_A
11,GATS1Z
12,GATS7Z
13,MATS3i
14,Sse
15,MATS7pe
16,BCUTare-1h
17,AATSC2v
18,MATS8d
19,AETA_eta_FL
20,VR3_Dzse
21,ATS6i
22,AATSC4p_diff_NsssN
23,MWC02
24,SsCH3
25,nCl
26,GGI10
27,AXp-1dv
28,GATS7are
29,VE1_D_ratio_ATS5s
30,VE3_Dzv
31,EState_VSA3
32,BCUTm-1l
33,SMR_VSA6
34,BCUTs-1h
35,SlogP_VSA11_ratio_VSA_EState3
36,ATS2Z_ratio_EState_VSA10
37,Xp-4dv
38,AATSC4pe
39,AATS2p
40,AATS2Z_multiply_AATS0s
41,AATS5m
42,SpDiam_Dzpe
43,MDEC-22
44,GATS4dv
45,ATSC5s
46,AATSC2s
47,VR2_Dzv
48,MATS2dv
49,ZMIC1
50,AATS6v
51,ATSC7dv
52,ATSC7dv_diff_ATSC3p
53,JGI6
54,GATS8s
55,VSA_EState4
56,nFHRing
57,AATSC4s
58,ATSC1v
59,VR3_Dzm
60,AATS8se
61,AATSC1p
62,MATS8v_sum_MATS2m
63,GATS3pe
64,AATSC7d
65,AATS5d
66,EState_VSA10
67,AATSC8pe
68,GATS4se
69,Xc-4dv
70,MATS1dv_ratio_Sare
71,MATS1se
72,Kier2
73,GATS3se
74,Xp-1d
75,GATS8m
76,AATSC6se
77,BCUTv-1l
78,MATS1d
79,GATS8dv
80,ATSC8m
81,AATS5are
82,SpMAD_DzZ
83,MATS4Z
84,ATS5pe
85,MID_X
86,ATS8m
87,VE2_Dzm
88,ATSC6i_diff_n7Ring
89,VSA_EState6
90,AATSC3s
91,nAromBond
92,AATSC6dv
93,ATSC4se
94,Xp-7dv
95,C1SP3
96,BCUTdv-1h
97,MATS2se_ratio_MATS3s
98,SpMAD_Dzpe
99,SpAD_Dzv
100,AATS4m
101,BCUTZ-1l
102,FilterItLogS
103,SpAD_Dzi
104,AATS2s
105,ETA_beta_ns
106,ATSC2are
107,EState_VSA2
108,AATSC5pe
109,GATS3Z
110,ATS3s
111,ATSC8Z
112,MWC06
113,AATS6i
114,ETA_shape_x
115,AETA_eta_B
116,SRW06
117,SpMax_Dzv
118,ECIndex
119,SsssN
120,AATSC5Z
121,VE3_Dzi
122,ATSC4c
123,AATSC7are
124,Xch-6d
125,AATSC0i
126,piPC1
127,GATS4pe_ratio_EState_VSA10
128,BIC5_ratio_ATSC4p
129,MATS1pe
130,GATS2dv
131,BIC2
132,AATSC8c
133,VE2_Dzpe
134,MATS1s
135,AATS0se
136,AMID
137,ATSC5are_multiply_ATS6se
138,ATS5s_ratio_VE1_D
139,ATS7pe
140,Xch-5dv
141,SlogP_VSA6
142,AATS3v
143,AATS2se
144,GATS3dv
145,VE2_Dzp
146,GATS4v
147,piPC4
148,VE2_Dzv
149,ATSC2se
150,ATS6Z
151,MATS7se
152,AATS1m
153,ETA_beta_s
154,CIC0
155,ZMIC3
156,GATS7i
157,MATS2d
158,MATS4se
159,AATS3pe
160,MATS2p
161,JGT10
162,AATS5dv
163,MATS8v_ratio_Xp-4d
164,GATS4p
165,PEOE_VSA10
166,GATS2v
167,ATS0s
168,AETA_beta_ns
169,ATS0se
170,SdO
171,nG12FAHRing
172,AATSC7v
173,ATSC6i_diff_AETA_dBeta
174,SIC5
175,ATSC8se
176,VMcGowan
177,ATSC6i_diff_n7AHRing
178,AATS7dv
179,AXp-0d_ratio_ATS2s
180,nBondsKD
181,AETA_eta_L_ratio_ATSC8v
182,GATS5p
183,ATSC6i
184,piPC8
185,JGI10
186,AATS3d
187,ATSC7pe
188,AATSC4p
189,ATSC1i
190,JGI4
191,GATS8dv_diff_SsssCH
192,IC0
193,GATS3p
194,GATS3m
195,MID_h_multiply_NssssC
196,EState_VSA8
197,MDEC-33
198,GGI6
199,Mv
200,MATS4m
201,ETA_beta_s_ratio_SMR_VSA4
202,ATS5v
203,SssCH2
204,AATSC7p
205,GATS5are
206,Xc-3dv
207,ATSC4dv
208,MATS6d
209,AATSC1se
210,GATS7m
211,MATS2se
212,GATS6are
213,ATS1d
214,AATSC4dv
215,ATS4Z
216,ATS6v
217,n6aHRing
218,ATSC6i_diff_SRW06
219,AATSC6d
220,AATS4Z
221,ATSC7v
222,Xp-5dv
223,ATSC6c
224,AATSC2p
225,ATSC4Z
226,VR1_Dzp
227,MATS6m
228,ATSC6dv
229,CIC5
230,ATS4d
231,SpAD_Dzse
232,ATS2m
233,AATS6pe
234,AETA_eta_RL
235,AATSC8v
236,SsNH2
237,ETA_beta_ns_d
238,ATS6d
239,SlogP_VSA3
240,ZMIC2
241,ATSC6Z
242,piPC10
243,MATS7are
244,GATS8i_ratio_AXp-2d
245,AATS6m
246,AATSC0c
247,AATSC5p
248,ATSC3Z
249,ATS5i
250,GATS4c
251,ZMIC5
252,AATSC1Z
253,SpDiam_D
254,SpMax_Dzm
255,Sv
256,Xch-7dv
257,AATSC3dv
258,SIC2
259,ATSC6i_diff_GGI5
260,ATSC1pe
261,CIC3
262,GATS5v
263,nFAHRing
264,JGI5_multiply_ETA_shape_p
265,MPC10
266,SdssC
267,AATSC6pe
268,VR3_Dzare
269,TopoPSA(NO)
270,GATS3d
271,TopoPSA
272,AXp-4dv
273,AMID_X
274,AATS4dv
275,AATSC6are
276,JGI3
277,SZ
278,AATSC4i
279,MWC09
280,AATSC0s
281,ETA_alpha
282,nBondsKD_ratio_GATS6s
283,MATS6Z_ratio_AATSC4are
284,ATSC8dv_diff_ATSC6s
285,GATS8p
286,AATSC1d
287,PEOE_VSA1
288,AATSC6c
289,AATSC6Z
290,GATS8d
291,AATS6Z
292,ATSC1p
293,VE3_Dzare
294,ATS4v
295,IC2_multiply_GATS8Z
296,MPC4
297,MATS1c
298,AATSC5c
299,ATSC8are
300,ATS4are
301,ATS0d
302,ATSC4pe
303,AATS5v
304,MATS4are
305,AATSC5dv
306,SMR_VSA9_ratio_ATS4m
307,SpAbs_Dzse
308,ATSC0d
309,MATS3dv
310,C3SP3
311,ATSC4p
312,AATSC2m
313,Lipinski_multiply_AATS8m
314,ATSC3v
315,GATS6c
316,MIC5
317,SpAD_A
318,VE3_Dzpe
319,C3SP3_ratio_VR1_A
320,MATS6i
321,ATSC6are
322,ATS5dv
323,ATSC2p
324,GATS5m_sum_ATSC6i
325,ATSC0s
326,ATSC1Z
327,MATS7dv
328,BCUTpe-1l
329,ATS8p
330,MATS1dv_sum_ATSC6i
331,VSA_EState3
332,AXp-6d
333,Xpc-4d
334,ABC
335,VSA_EState9
336,LabuteASA
337,ATSC2Z
338,MID_O
339,ATS7Z
340,AATS3are
341,GATS3s
342,Xp-6dv
343,MPC6
344,AATSC7Z
345,nRot
346,GATS7dv
347,Xch-5d
348,AETA_beta
349,ATSC0i
350,AATS8pe
351,ATSC7dv_ratio_BIC0
352,CIC4
353,MID_h
354,ETA_dBeta
355,BCUTi-1h
356,VR1_Dzse
357,ETA_dPsi_A
358,MATS1dv
359,ATSC6i_multiply_SpMax_A
360,nHBDon
361,GATS4i
362,BCUTm-1h
363,MATS4v
364,EState_VSA9
365,AATS0p
366,BalabanJ
367,NssssC_multiply_SM1_Dzse
368,Mare
369,AXp-7dv
370,ATSC7m
371,MIC1
372,GATS1v
373,ATSC7d
374,AATS7s
375,AATSC7pe
376,Xc-5dv
377,AXp-4d
378,ATS1m
379,EState_VSA4
380,WPol_multiply_AETA_eta_B
381,ATSC7are
382,SpMAD_D
383,NdsCH
384,AXp-0dv
385,SpAbs_Dzv
386,MATS4d
387,ETA_psi_1
388,VR1_Dzpe
