name,model_type,metric_type,metric_value,train_time
1_Baseline,Baseline,logloss,0.6377980514324715,8.17
2_DecisionTree,Decision Tree,logloss,1.472819003359073,8.74
3_DecisionTree,Decision Tree,logloss,3.638942280290109,8.72
4_DecisionTree,Decision Tree,logloss,3.986859305918979,8.64
5_Default_LightGBM,LightGBM,logloss,0.613136789982178,10.85
6_Default_Xgboost,Xgboost,logloss,0.6191774561849176,13.87
7_Default_CatBoost,CatBoost,logloss,0.5557199553146507,36.59
8_Default_NeuralNetwork,Neural Network,logloss,3.7652978367182883,22.58
9_Default_RandomForest,Random Forest,logloss,0.6540544164922171,41.66
10_Default_ExtraTrees,Extra Trees,logloss,0.6807087708079294,33.33
20_LightGBM,LightGBM,logloss,0.619785114861185,11.83
11_Xgboost,Xgboost,logloss,0.5883492096042147,11.92
29_CatBoost,CatBoost,logloss,0.5845158207026753,76.46
38_RandomForest,Random Forest,logloss,0.6271222201969158,37.27
47_ExtraTrees,Extra Trees,logloss,0.6470468026244094,30.45
56_NeuralNetwork,Neural Network,logloss,2.089375099782454,25.79
21_LightGBM,LightGBM,logloss,0.6353768884588199,12.7
12_Xgboost,Xgboost,logloss,0.61523081848816,13.56
30_CatBoost,CatBoost,logloss,0.5785474767711045,34.63
39_RandomForest,Random Forest,logloss,0.6070319471405814,32.62
48_ExtraTrees,Extra Trees,logloss,0.6187786823836138,31.95
57_NeuralNetwork,Neural Network,logloss,2.4191916413761536,24.8
22_LightGBM,LightGBM,logloss,0.6002789808190195,13.89
13_Xgboost,Xgboost,logloss,0.6931471824645996,12.89
31_CatBoost,CatBoost,logloss,0.550773576729215,48.73
40_RandomForest,Random Forest,logloss,0.6365759215594088,35.87
49_ExtraTrees,Extra Trees,logloss,0.653381969785832,32.99
58_NeuralNetwork,Neural Network,logloss,3.1306409087237625,27.2
23_LightGBM,LightGBM,logloss,0.6105050025891272,27.14
14_Xgboost,Xgboost,logloss,0.5942451902190033,16.66
32_CatBoost,CatBoost,logloss,0.5758995673007834,67.63
41_RandomForest,Random Forest,logloss,0.5933992018720029,36.03
